tenure,monthly_charges,total_charges,num_products,contract_type,payment_method,internet_service,online_security,tech_support,paperless_billing,senior_citizen,gender,partner,dependents,phone_service,multiple_lines,streaming_tv,streaming_movies,device_protection,online_backup,charges_per_tenure,value_score,churn
-0.111359835504773,0.4968586365008589,-0.5689645440199268,1.3403896392983632,0,1,0,0,0,1,2.29813120495238,1,0,1,1,0,1,2,0,1,-0.21559597016659296,-0.6463096081533183,0
-0.9832506746026045,-1.0464016266765308,1.002112026711658,1.3403896392983632,1,2,0,0,1,1,2.29813120495238,0,0,1,1,2,1,2,1,0,-0.21515542763314713,1.3970289340535051,1
-1.128565814452243,1.1529627166784262,1.0161562897508347,0.4459617470667049,0,0,1,1,0,1,-0.43513616535254396,1,0,0,1,0,2,0,0,0,0.31601276031907605,-0.15746768821459348,1
-1.2738809543018816,-0.9485278161012944,-0.7816471103140936,-0.44846614516495326,0,0,2,0,0,1,-0.43513616535254396,1,0,0,1,2,2,1,0,2,-0.04260863909902361,-0.3380511801896155,1
0.3245855840441427,-1.357850073899873,-1.3201884294225459,1.3403896392983632,1,1,0,0,2,1,-0.43513616535254396,0,0,0,1,2,0,2,0,2,-0.38729906012560716,-0.6808584539964242,0
-0.934812294652725,-0.6304379317317758,1.218289518408158,-1.3428940373966114,1,3,1,0,0,1,-0.43513616535254396,1,1,0,1,0,1,1,2,2,-0.16062203959954702,0.9712400735531181,0
0.6636542436932994,1.3046671230700428,1.2403437028435669,-1.3428940373966114,2,2,1,0,2,1,2.29813120495238,0,1,1,0,2,1,1,0,0,-0.2474155629364247,-0.11892586556318079,0
-0.934812294652725,-1.152664621015359,0.3384764811335078,-1.3428940373966114,2,0,1,1,2,1,-0.43513616535254396,0,0,1,0,2,2,1,0,1,-0.24693948811995337,0.9304486195381924,0
-1.225442574352002,-0.16204183826457236,-1.5422280989490664,-0.44846614516495326,0,1,1,0,0,0,-0.43513616535254396,0,1,0,1,1,2,2,2,0,0.12063186896627505,-1.0606870355012705,1
0.7605310035930585,1.475946291576707,-0.4211059573865127,0.4459617470667049,2,2,1,1,1,1,-0.43513616535254396,1,1,0,1,0,1,1,0,2,-0.246217287245452,-0.7251481711862834,0
-1.1770041944021226,0.3360659476986848,-1.3356745643949506,-1.3428940373966114,2,2,0,0,1,1,-0.43513616535254396,0,0,1,1,0,0,0,2,0,0.18913984392147706,-0.9808764178076727,0
-1.3223193342517612,-1.6070787415432428,0.939366925091948,0.4459617470667049,2,3,2,0,0,1,-0.43513616535254396,0,0,0,1,2,2,0,0,0,-0.2021822925908538,2.9865450685867367,0
-1.4191960941515203,-1.0705205299968572,-1.4728891232944132,-1.3428940373966114,2,1,0,2,0,1,2.29813120495238,1,1,0,1,0,1,1,2,2,0.08597448071448814,-0.926960799631491,0
0.4699007238937813,-1.2501888822671128,1.0104490593524442,-0.44846614516495326,0,0,0,0,2,0,2.29813120495238,1,1,1,1,0,2,2,2,2,-0.3852616796120643,1.8382722047265454,0
1.0995996632422151,1.1407284903565218,1.360105155207982,-0.44846614516495326,0,1,0,2,0,1,-0.43513616535254396,1,0,1,1,0,2,1,1,0,-0.28717807270861334,-0.027151344681701373,0
-0.5473052550536888,-0.6328847769961568,0.6767826776221106,1.3403896392983632,0,2,2,0,0,0,2.29813120495238,1,0,0,1,0,0,2,2,2,-0.2557052734543015,0.5801621291426206,1
1.0995996632422151,1.475596742253224,-1.380953647193644,1.3403896392983632,0,3,1,1,2,0,-0.43513616535254396,0,0,0,1,0,0,1,2,2,-0.27122991888877646,-1.0490860902019041,0
-0.5473052550536888,1.0529916101622918,-1.5660297460856418,0.4459617470667049,0,2,1,1,0,1,-0.43513616535254396,1,1,1,1,0,0,0,2,2,-0.06622056337032194,-1.105293537762273,0
0.9542845233925766,0.03685172679724745,-0.5111648479264236,0.4459617470667049,0,0,0,2,2,1,-0.43513616535254396,1,1,1,1,2,0,0,0,0,-0.3334746286182452,-0.5201709518931878,0
0.5183391038436609,-0.6416235100832314,0.32731165786546473,-0.44846614516495326,0,0,1,0,2,0,2.29813120495238,0,1,0,1,1,1,2,0,0,-0.35040290735958596,0.33309242578551057,1
1.1480380431920947,-0.8950467696083974,0.561846116114857,-0.44846614516495326,0,2,0,2,0,1,-0.43513616535254396,1,0,0,1,2,0,0,2,1,-0.38534495251289813,0.7750280263819844,0
0.0823936842947451,-0.6052703804410007,1.5095949939688391,-0.44846614516495326,2,2,2,2,2,1,-0.43513616535254396,0,1,1,1,0,2,1,2,0,-0.3224923425530548,1.1510015150565052,0
-1.4676344741013998,-1.5588409349025907,1.5447207159004113,-1.3428940373966114,0,3,1,2,0,0,-0.43513616535254396,1,1,0,1,0,2,1,1,1,-0.05223413235437815,3.657832138436543,1
